,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,11123,prod2,1,500,08/09/19 08:37,"87 Main St, Los Angeles ,CA",August,Client8
1,11123,prod13,2,200,08/09/19 08:37,"87 Main St, Los Angeles ,CA",August,Client8
2,11123,prod15,11,1000,08/09/19 08:37,"87 Main St, Los Angeles ,CA",August,Client8
3,11124,prod11,1,600,08/04/19 13:00,"661 Spruce St, Portland ,ME",August,Client7
4,11124,prod4,6,800,08/04/19 13:00,"661 Spruce St, Portland ,ME",August,Client7
5,11124,prod1,4,700,08/04/19 13:00,"661 Spruce St, Portland ,ME",August,Client7
6,11125,prod10,1,1000,08/09/19 17:49,"685 Highland St, San Francisco ,CA",August,Client0
7,11125,prod15,9,1000,08/09/19 17:49,"685 Highland St, San Francisco ,CA",August,Client0
8,11126,prod9,1,100,08/16/19 19:05,"561 11th St, Boston ,MA",August,Client1
9,11126,prod10,3,1000,08/16/19 19:05,"561 11th St, Boston ,MA",August,Client1
10,11126,prod9,1,100,08/16/19 19:05,"561 11th St, Boston ,MA",August,Client1
11,11127,prod10,1,1000,08/15/19 16:26,"741 South St, San Francisco ,CA",August,Client0
12,11127,prod1,7,700,08/15/19 16:26,"741 South St, San Francisco ,CA",August,Client0
13,11127,prod7,6,400,08/15/19 16:26,"741 South St, San Francisco ,CA",August,Client0
14,11127,prod13,2,200,08/15/19 16:26,"741 South St, San Francisco ,CA",August,Client0
15,11128,prod9,1,100,08/13/19 10:12,"589 Willow St, Los Angeles ,CA",August,Client8
16,11128,prod6,1,600,08/13/19 10:12,"589 Willow St, Los Angeles ,CA",August,Client8
17,11128,prod13,9,200,08/13/19 10:12,"589 Willow St, Los Angeles ,CA",August,Client8
18,11129,prod1,1,700,08/16/19 18:34,"778 Center St, San Francisco ,CA",August,Client0
19,11129,prod12,9,400,08/16/19 18:34,"778 Center St, San Francisco ,CA",August,Client0
20,11129,prod2,10,500,08/16/19 18:34,"778 Center St, San Francisco ,CA",August,Client0
21,11129,prod12,4,400,08/16/19 18:34,"778 Center St, San Francisco ,CA",August,Client0
22,11130,prod1,1,700,08/13/19 16:37,"453 6th St, San Francisco ,CA",August,Client0
23,11130,prod7,10,400,08/13/19 16:37,"453 6th St, San Francisco ,CA",August,Client0
24,11130,prod12,9,400,08/13/19 16:37,"453 6th St, San Francisco ,CA",August,Client0
25,11130,prod15,8,1000,08/13/19 16:37,"453 6th St, San Francisco ,CA",August,Client0
26,11131,prod3,1,300,08/30/19 09:49,"573 Willow St, Seattle ,WA",August,Client9
27,11131,prod5,4,900,08/30/19 09:49,"573 Willow St, Seattle ,WA",August,Client9
28,11131,prod10,3,1000,08/30/19 09:49,"573 Willow St, Seattle ,WA",August,Client9
29,11132,prod4,1,800,08/16/19 10:24,"368 8th St, Seattle ,WA",August,Client9
30,11132,prod4,4,800,08/16/19 10:24,"368 8th St, Seattle ,WA",August,Client9
31,11133,prod5,1,900,08/18/19 23:10,"102 North St, New York City ,NY",August,Client2
32,11133,prod1,3,700,08/18/19 23:10,"102 North St, New York City ,NY",August,Client2
33,11133,prod15,9,1000,08/18/19 23:10,"102 North St, New York City ,NY",August,Client2
34,11133,prod6,10,600,08/18/19 23:10,"102 North St, New York City ,NY",August,Client2
35,11134,prod10,1,1000,08/25/19 18:58,"683 7th St, Atlanta ,GA",August,Client5
36,11134,prod3,5,300,08/25/19 18:58,"683 7th St, Atlanta ,GA",August,Client5
37,11134,prod1,11,700,08/25/19 18:58,"683 7th St, Atlanta ,GA",August,Client5
38,11134,prod2,8,500,08/25/19 18:58,"683 7th St, Atlanta ,GA",August,Client5
39,11135,prod1,1,700,08/08/19 19:45,"858 10th St, San Francisco ,CA",August,Client0
40,11135,prod5,10,900,08/08/19 19:45,"858 10th St, San Francisco ,CA",August,Client0
41,11136,prod2,1,500,08/26/19 12:28,"118 14th St, Boston ,MA",August,Client1
42,11136,prod2,7,500,08/26/19 12:28,"118 14th St, Boston ,MA",August,Client1
43,11136,prod15,9,1000,08/26/19 12:28,"118 14th St, Boston ,MA",August,Client1
44,11137,prod3,1,300,08/04/19 18:29,"232 Cedar St, Atlanta ,GA",August,Client5
45,11137,prod12,7,400,08/04/19 18:29,"232 Cedar St, Atlanta ,GA",August,Client5
46,11137,prod11,9,600,08/04/19 18:29,"232 Cedar St, Atlanta ,GA",August,Client5
47,11138,prod10,1,1000,08/30/19 09:00,"660 Pine St, Boston ,MA",August,Client1
48,11138,prod2,10,500,08/30/19 09:00,"660 Pine St, Boston ,MA",August,Client1
49,11138,prod14,10,100,08/30/19 09:00,"660 Pine St, Boston ,MA",August,Client1
50,11138,prod14,10,100,08/30/19 09:00,"660 Pine St, Boston ,MA",August,Client1
51,11139,prod5,1,900,08/06/19 23:49,"734 Lakeview St, Dallas ,TX",August,Client4
52,11139,prod10,5,1000,08/06/19 23:49,"734 Lakeview St, Dallas ,TX",August,Client4
53,11140,prod4,1,800,08/07/19 17:46,"136 10th St, San Francisco ,CA",August,Client0
54,11140,prod13,4,200,08/07/19 17:46,"136 10th St, San Francisco ,CA",August,Client0
55,11140,prod3,9,300,08/07/19 17:46,"136 10th St, San Francisco ,CA",August,Client0
56,11140,prod11,2,600,08/07/19 17:46,"136 10th St, San Francisco ,CA",August,Client0
57,11141,prod7,1,400,08/24/19 16:07,"582 Cedar St, Atlanta ,GA",August,Client5
58,11141,prod10,8,1000,08/24/19 16:07,"582 Cedar St, Atlanta ,GA",August,Client5
59,11141,prod15,7,1000,08/24/19 16:07,"582 Cedar St, Atlanta ,GA",August,Client5
60,11142,prod2,1,500,08/22/19 23:16,"356 Johnson St, Seattle ,WA",August,Client9
61,11142,prod2,8,500,08/22/19 23:16,"356 Johnson St, Seattle ,WA",August,Client9
62,11142,prod15,4,1000,08/22/19 23:16,"356 Johnson St, Seattle ,WA",August,Client9
63,11143,prod5,1,900,08/20/19 21:16,"12 Cedar St, New York City ,NY",August,Client2
64,11143,prod10,1,1000,08/20/19 21:16,"12 Cedar St, New York City ,NY",August,Client2
65,11144,prod15,1,1000,08/13/19 00:18,"685 1st St, Dallas ,TX",August,Client4
66,11144,prod12,5,400,08/13/19 00:18,"685 1st St, Dallas ,TX",August,Client4
67,11144,prod1,4,700,08/13/19 00:18,"685 1st St, Dallas ,TX",August,Client4
