,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,2686,prod4,1,800,02/21/19 10:43,"545 Forest St, Seattle ,WA",February,Client9
1,2686,prod1,11,700,02/21/19 10:43,"545 Forest St, Seattle ,WA",February,Client9
2,2686,prod11,1,600,02/21/19 10:43,"545 Forest St, Seattle ,WA",February,Client9
3,2686,prod2,8,500,02/21/19 10:43,"545 Forest St, Seattle ,WA",February,Client9
4,2687,prod9,1,100,02/18/19 15:40,"938 Wilson St, Boston ,MA",February,Client1
5,2687,prod1,6,700,02/18/19 15:40,"938 Wilson St, Boston ,MA",February,Client1
6,2687,prod5,7,900,02/18/19 15:40,"938 Wilson St, Boston ,MA",February,Client1
7,2688,prod1,1,700,02/27/19 04:22,"872 Willow St, San Francisco ,CA",February,Client0
8,2688,prod15,10,1000,02/27/19 04:22,"872 Willow St, San Francisco ,CA",February,Client0
9,2689,prod5,1,900,02/13/19 15:17,"64 Johnson St, San Francisco ,CA",February,Client0
10,2689,prod2,5,500,02/13/19 15:17,"64 Johnson St, San Francisco ,CA",February,Client0
11,2689,prod2,3,500,02/13/19 15:17,"64 Johnson St, San Francisco ,CA",February,Client0
12,2689,prod10,2,1000,02/13/19 15:17,"64 Johnson St, San Francisco ,CA",February,Client0
13,2690,prod11,1,600,02/04/19 21:42,"398 Adams St, Seattle ,WA",February,Client9
14,2690,prod14,10,100,02/04/19 21:42,"398 Adams St, Seattle ,WA",February,Client9
15,2690,prod12,5,400,02/04/19 21:42,"398 Adams St, Seattle ,WA",February,Client9
16,2691,prod13,1,200,02/27/19 18:49,"786 River St, Austin ,TX",February,Client3
17,2691,prod1,4,700,02/27/19 18:49,"786 River St, Austin ,TX",February,Client3
18,2691,prod13,2,200,02/27/19 18:49,"786 River St, Austin ,TX",February,Client3
19,2692,prod4,1,800,02/16/19 13:42,"458 2nd St, Atlanta ,GA",February,Client5
20,2692,prod14,9,100,02/16/19 13:42,"458 2nd St, Atlanta ,GA",February,Client5
21,2692,prod15,6,1000,02/16/19 13:42,"458 2nd St, Atlanta ,GA",February,Client5
22,2692,prod3,11,300,02/16/19 13:42,"458 2nd St, Atlanta ,GA",February,Client5
23,2693,prod3,1,300,02/14/19 14:04,"664 2nd St, Portland ,OR",February,Client6
24,2693,prod7,5,400,02/14/19 14:04,"664 2nd St, Portland ,OR",February,Client6
25,2693,prod4,4,800,02/14/19 14:04,"664 2nd St, Portland ,OR",February,Client6
26,2694,prod13,1,200,02/28/19 17:40,"730 Main St, Atlanta ,GA",February,Client5
27,2694,prod14,10,100,02/28/19 17:40,"730 Main St, Atlanta ,GA",February,Client5
28,2694,prod14,4,100,02/28/19 17:40,"730 Main St, Atlanta ,GA",February,Client5
29,2695,prod2,1,500,02/07/19 18:55,"234 Madison St, New York City ,NY",February,Client2
30,2695,prod5,7,900,02/07/19 18:55,"234 Madison St, New York City ,NY",February,Client2
31,2695,prod1,6,700,02/07/19 18:55,"234 Madison St, New York City ,NY",February,Client2
32,2696,prod10,1,1000,02/23/19 14:25,"741 8th St, New York City ,NY",February,Client2
33,2696,prod12,1,400,02/23/19 14:25,"741 8th St, New York City ,NY",February,Client2
