,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,8582,prod4,1,800,06/30/19 23:08,"552 Forest St, San Francisco ,CA",June,Client0
1,8582,prod14,4,100,06/30/19 23:08,"552 Forest St, San Francisco ,CA",June,Client0
2,8582,prod15,2,1000,06/30/19 23:08,"552 Forest St, San Francisco ,CA",June,Client0
3,8582,prod2,6,500,06/30/19 23:08,"552 Forest St, San Francisco ,CA",June,Client0
4,8583,prod6,1,600,06/25/19 01:34,"581 Center St, Atlanta ,GA",June,Client5
5,8583,prod2,7,500,06/25/19 01:34,"581 Center St, Atlanta ,GA",June,Client5
6,8583,prod8,4,200,06/25/19 01:34,"581 Center St, Atlanta ,GA",June,Client5
7,8584,prod14,1,100,06/27/19 07:48,"78 1st St, Boston ,MA",June,Client1
8,8584,prod3,7,300,06/27/19 07:48,"78 1st St, Boston ,MA",June,Client1
9,8584,prod14,9,100,06/27/19 07:48,"78 1st St, Boston ,MA",June,Client1
10,8585,prod12,1,400,06/12/19 15:52,"746 Hill St, Los Angeles ,CA",June,Client8
11,8585,prod5,8,900,06/12/19 15:52,"746 Hill St, Los Angeles ,CA",June,Client8
12,8585,prod2,3,500,06/12/19 15:52,"746 Hill St, Los Angeles ,CA",June,Client8
13,8586,prod10,1,1000,06/06/19 11:10,"131 8th St, San Francisco ,CA",June,Client0
14,8586,prod10,8,1000,06/06/19 11:10,"131 8th St, San Francisco ,CA",June,Client0
15,8587,prod10,1,1000,06/29/19 13:10,"579 4th St, New York City ,NY",June,Client2
16,8587,prod14,11,100,06/29/19 13:10,"579 4th St, New York City ,NY",June,Client2
17,8587,prod10,3,1000,06/29/19 13:10,"579 4th St, New York City ,NY",June,Client2
18,8587,prod15,4,1000,06/29/19 13:10,"579 4th St, New York City ,NY",June,Client2
19,8588,prod12,1,400,06/13/19 18:45,"999 Maple St, San Francisco ,CA",June,Client0
20,8588,prod2,9,500,06/13/19 18:45,"999 Maple St, San Francisco ,CA",June,Client0
21,8588,prod11,8,600,06/13/19 18:45,"999 Maple St, San Francisco ,CA",June,Client0
22,8589,prod15,1,1000,06/17/19 10:45,"71 14th St, New York City ,NY",June,Client2
23,8589,prod14,9,100,06/17/19 10:45,"71 14th St, New York City ,NY",June,Client2
24,8589,prod15,1,1000,06/17/19 10:45,"71 14th St, New York City ,NY",June,Client2
25,8589,prod1,1,700,06/17/19 10:45,"71 14th St, New York City ,NY",June,Client2
26,8590,prod10,1,1000,06/30/19 16:14,"811 9th St, Austin ,TX",June,Client3
