,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,4468,prod7,1,400,03/22/19 13:12,"584 Johnson St, San Francisco ,CA",March,Client0
1,4468,prod1,7,700,03/22/19 13:12,"584 Johnson St, San Francisco ,CA",March,Client0
2,4468,prod14,1,100,03/22/19 13:12,"584 Johnson St, San Francisco ,CA",March,Client0
3,4469,prod6,1,600,03/06/19 15:06,"900 Highland St, Atlanta ,GA",March,Client5
4,4469,prod15,7,1000,03/06/19 15:06,"900 Highland St, Atlanta ,GA",March,Client5
5,4469,prod6,1,600,03/06/19 15:06,"900 Highland St, Atlanta ,GA",March,Client5
6,4470,prod10,1,1000,03/05/19 19:38,"135 Elm St, San Francisco ,CA",March,Client0
7,4470,prod8,11,200,03/05/19 19:38,"135 Elm St, San Francisco ,CA",March,Client0
8,4470,prod14,6,100,03/05/19 19:38,"135 Elm St, San Francisco ,CA",March,Client0
9,4470,prod12,10,400,03/05/19 19:38,"135 Elm St, San Francisco ,CA",March,Client0
10,4471,prod14,1,100,03/25/19 01:33,"610 10th St, New York City ,NY",March,Client2
11,4471,prod15,2,1000,03/25/19 01:33,"610 10th St, New York City ,NY",March,Client2
12,4471,prod10,10,1000,03/25/19 01:33,"610 10th St, New York City ,NY",March,Client2
13,4472,prod13,1,200,03/23/19 19:26,"626 1st St, Atlanta ,GA",March,Client5
14,4472,prod2,8,500,03/23/19 19:26,"626 1st St, Atlanta ,GA",March,Client5
15,4472,prod14,8,100,03/23/19 19:26,"626 1st St, Atlanta ,GA",March,Client5
16,4473,prod5,1,900,03/19/19 15:04,"345 Chestnut St, Boston ,MA",March,Client1
17,4473,prod6,3,600,03/19/19 15:04,"345 Chestnut St, Boston ,MA",March,Client1
18,4473,prod12,7,400,03/19/19 15:04,"345 Chestnut St, Boston ,MA",March,Client1
19,4473,prod11,11,600,03/19/19 15:04,"345 Chestnut St, Boston ,MA",March,Client1
20,4474,prod15,1,1000,03/25/19 18:16,"111 Pine St, San Francisco ,CA",March,Client0
21,4474,prod12,10,400,03/25/19 18:16,"111 Pine St, San Francisco ,CA",March,Client0
22,4474,prod15,3,1000,03/25/19 18:16,"111 Pine St, San Francisco ,CA",March,Client0
23,4474,prod3,3,300,03/25/19 18:16,"111 Pine St, San Francisco ,CA",March,Client0
24,4475,prod13,1,200,03/05/19 15:24,"359 2nd St, Boston ,MA",March,Client1
25,4475,prod3,3,300,03/05/19 15:24,"359 2nd St, Boston ,MA",March,Client1
26,4475,prod11,6,600,03/05/19 15:24,"359 2nd St, Boston ,MA",March,Client1
27,4476,prod10,1,1000,03/22/19 09:48,"782 11th St, Los Angeles ,CA",March,Client8
28,4476,prod15,4,1000,03/22/19 09:48,"782 11th St, Los Angeles ,CA",March,Client8
29,4477,prod6,1,600,03/18/19 06:34,"285 Jefferson St, Atlanta ,GA",March,Client5
30,4477,prod11,7,600,03/18/19 06:34,"285 Jefferson St, Atlanta ,GA",March,Client5
31,4477,prod12,7,400,03/18/19 06:34,"285 Jefferson St, Atlanta ,GA",March,Client5
32,4478,prod2,1,500,03/29/19 14:26,"653 South St, New York City ,NY",March,Client2
33,4478,prod12,7,400,03/29/19 14:26,"653 South St, New York City ,NY",March,Client2
34,4478,prod3,8,300,03/29/19 14:26,"653 South St, New York City ,NY",March,Client2
35,4479,prod15,1,1000,03/23/19 18:54,"480 Cedar St, Seattle ,WA",March,Client9
36,4479,prod12,11,400,03/23/19 18:54,"480 Cedar St, Seattle ,WA",March,Client9
37,4479,prod1,5,700,03/23/19 18:54,"480 Cedar St, Seattle ,WA",March,Client9
38,4479,prod14,2,100,03/23/19 18:54,"480 Cedar St, Seattle ,WA",March,Client9
39,4480,prod4,1,800,03/12/19 01:05,"881 Cedar St, Portland ,OR",March,Client6
40,4480,prod12,11,400,03/12/19 01:05,"881 Cedar St, Portland ,OR",March,Client6
41,4480,prod12,6,400,03/12/19 01:05,"881 Cedar St, Portland ,OR",March,Client6
42,4480,prod12,10,400,03/12/19 01:05,"881 Cedar St, Portland ,OR",March,Client6
43,4481,prod15,1,1000,03/07/19 22:09,"88 Church St, New York City ,NY",March,Client2
44,4481,prod3,11,300,03/07/19 22:09,"88 Church St, New York City ,NY",March,Client2
45,4481,prod10,8,1000,03/07/19 22:09,"88 Church St, New York City ,NY",March,Client2
46,4481,prod3,5,300,03/07/19 22:09,"88 Church St, New York City ,NY",March,Client2
47,4482,prod10,1,1000,03/10/19 22:56,"788 1st St, San Francisco ,CA",March,Client0
48,4482,prod12,9,400,03/10/19 22:56,"788 1st St, San Francisco ,CA",March,Client0
49,4482,prod14,4,100,03/10/19 22:56,"788 1st St, San Francisco ,CA",March,Client0
50,4482,prod13,4,200,03/10/19 22:56,"788 1st St, San Francisco ,CA",March,Client0
51,4483,prod1,1,700,03/07/19 19:02,"801 Walnut St, Boston ,MA",March,Client1
52,4483,prod11,3,600,03/07/19 19:02,"801 Walnut St, Boston ,MA",March,Client1
53,4483,prod4,7,800,03/07/19 19:02,"801 Walnut St, Boston ,MA",March,Client1
54,4483,prod10,6,1000,03/07/19 19:02,"801 Walnut St, Boston ,MA",March,Client1
55,4484,prod12,1,400,03/08/19 17:12,"431 6th St, Atlanta ,GA",March,Client5
56,4484,prod15,3,1000,03/08/19 17:12,"431 6th St, Atlanta ,GA",March,Client5
57,4484,prod1,1,700,03/08/19 17:12,"431 6th St, Atlanta ,GA",March,Client5
58,4485,prod14,1,100,03/10/19 23:34,"598 Walnut St, Los Angeles ,CA",March,Client8
59,4485,prod5,3,900,03/10/19 23:34,"598 Walnut St, Los Angeles ,CA",March,Client8
60,4485,prod12,5,400,03/10/19 23:34,"598 Walnut St, Los Angeles ,CA",March,Client8
61,4486,prod6,1,600,03/09/19 20:50,"416 Meadow St, Boston ,MA",March,Client1
62,4486,prod6,4,600,03/09/19 20:50,"416 Meadow St, Boston ,MA",March,Client1
63,4486,prod15,10,1000,03/09/19 20:50,"416 Meadow St, Boston ,MA",March,Client1
64,4487,prod15,1,1000,03/28/19 08:08,"447 8th St, Los Angeles ,CA",March,Client8
65,4487,prod15,1,1000,03/28/19 08:08,"447 8th St, Los Angeles ,CA",March,Client8
66,4488,prod15,1,1000,03/21/19 21:11,"40 Pine St, Boston ,MA",March,Client1
67,4488,prod5,10,900,03/21/19 21:11,"40 Pine St, Boston ,MA",March,Client1
68,4489,prod1,1,700,03/28/19 13:19,"501 Adams St, Dallas ,TX",March,Client4
69,4489,prod12,1,400,03/28/19 13:19,"501 Adams St, Dallas ,TX",March,Client4
70,4489,prod5,1,900,03/28/19 13:19,"501 Adams St, Dallas ,TX",March,Client4
71,4489,prod9,5,100,03/28/19 13:19,"501 Adams St, Dallas ,TX",March,Client4
72,4490,prod5,1,900,03/07/19 17:42,"761 Meadow St, San Francisco ,CA",March,Client0
73,4490,prod1,10,700,03/07/19 17:42,"761 Meadow St, San Francisco ,CA",March,Client0
74,4490,prod15,11,1000,03/07/19 17:42,"761 Meadow St, San Francisco ,CA",March,Client0
75,4490,prod6,5,600,03/07/19 17:42,"761 Meadow St, San Francisco ,CA",March,Client0
76,4491,prod15,1,1000,03/12/19 10:50,"489 Cedar St, Austin ,TX",March,Client3
77,4491,prod2,11,500,03/12/19 10:50,"489 Cedar St, Austin ,TX",March,Client3
78,4491,prod6,8,600,03/12/19 10:50,"489 Cedar St, Austin ,TX",March,Client3
79,4491,prod9,9,100,03/12/19 10:50,"489 Cedar St, Austin ,TX",March,Client3
80,4492,prod1,1,700,03/28/19 21:12,"809 Jackson St, Dallas ,TX",March,Client4
81,4492,prod10,11,1000,03/28/19 21:12,"809 Jackson St, Dallas ,TX",March,Client4
82,4493,prod10,1,1000,03/15/19 16:16,"812 Hickory St, Los Angeles ,CA",March,Client8
83,4493,prod2,5,500,03/15/19 16:16,"812 Hickory St, Los Angeles ,CA",March,Client8
84,4493,prod3,10,300,03/15/19 16:16,"812 Hickory St, Los Angeles ,CA",March,Client8
85,4493,prod7,2,400,03/15/19 16:16,"812 Hickory St, Los Angeles ,CA",March,Client8
86,4494,prod15,1,1000,03/01/19 16:32,"551 Elm St, Portland ,OR",March,Client6
87,4494,prod6,9,600,03/01/19 16:32,"551 Elm St, Portland ,OR",March,Client6
88,4494,prod3,11,300,03/01/19 16:32,"551 Elm St, Portland ,OR",March,Client6
89,4494,prod11,1,600,03/01/19 16:32,"551 Elm St, Portland ,OR",March,Client6
90,4495,prod8,1,200,03/04/19 13:10,"243 Maple St, Atlanta ,GA",March,Client5
91,4495,prod15,10,1000,03/04/19 13:10,"243 Maple St, Atlanta ,GA",March,Client5
92,4495,prod1,6,700,03/04/19 13:10,"243 Maple St, Atlanta ,GA",March,Client5
93,4496,prod11,1,600,03/07/19 17:49,"503 2nd St, Atlanta ,GA",March,Client5
94,4496,prod1,10,700,03/07/19 17:49,"503 2nd St, Atlanta ,GA",March,Client5
95,4496,prod4,1,800,03/07/19 17:49,"503 2nd St, Atlanta ,GA",March,Client5
96,4497,prod6,1,600,03/31/19 11:56,"239 Dogwood St, Boston ,MA",March,Client1
97,4497,prod14,3,100,03/31/19 11:56,"239 Dogwood St, Boston ,MA",March,Client1
98,4497,prod14,11,100,03/31/19 11:56,"239 Dogwood St, Boston ,MA",March,Client1
99,4498,prod1,1,700,03/23/19 10:33,"707 Adams St, Los Angeles ,CA",March,Client8
100,4498,prod1,10,700,03/23/19 10:33,"707 Adams St, Los Angeles ,CA",March,Client8
101,4498,prod15,3,1000,03/23/19 10:33,"707 Adams St, Los Angeles ,CA",March,Client8
102,4498,prod11,11,600,03/23/19 10:33,"707 Adams St, Los Angeles ,CA",March,Client8
103,4499,prod15,1,1000,03/19/19 21:06,"766 Willow St, Portland ,OR",March,Client6
104,4499,prod15,7,1000,03/19/19 21:06,"766 Willow St, Portland ,OR",March,Client6
105,4500,prod12,1,400,03/22/19 15:02,"501 West St, San Francisco ,CA",March,Client0
106,4500,prod4,9,800,03/22/19 15:02,"501 West St, San Francisco ,CA",March,Client0
107,4500,prod15,8,1000,03/22/19 15:02,"501 West St, San Francisco ,CA",March,Client0
108,4501,prod13,1,200,03/05/19 21:50,"820 8th St, Boston ,MA",March,Client1
109,4501,prod2,5,500,03/05/19 21:50,"820 8th St, Boston ,MA",March,Client1
110,4501,prod10,3,1000,03/05/19 21:50,"820 8th St, Boston ,MA",March,Client1
111,4502,prod1,1,700,03/25/19 18:31,"970 Park St, Los Angeles ,CA",March,Client8
112,4502,prod1,4,700,03/25/19 18:31,"970 Park St, Los Angeles ,CA",March,Client8
113,4502,prod7,6,400,03/25/19 18:31,"970 Park St, Los Angeles ,CA",March,Client8
114,4502,prod14,4,100,03/25/19 18:31,"970 Park St, Los Angeles ,CA",March,Client8
115,4503,prod3,1,300,03/04/19 16:17,"397 Lincoln St, Boston ,MA",March,Client1
116,4503,prod14,9,100,03/04/19 16:17,"397 Lincoln St, Boston ,MA",March,Client1
117,4503,prod2,6,500,03/04/19 16:17,"397 Lincoln St, Boston ,MA",March,Client1
118,4504,prod10,1,1000,03/30/19 18:07,"513 Willow St, Austin ,TX",March,Client3
119,4504,prod1,5,700,03/30/19 18:07,"513 Willow St, Austin ,TX",March,Client3
120,4504,prod11,4,600,03/30/19 18:07,"513 Willow St, Austin ,TX",March,Client3
121,4504,prod14,7,100,03/30/19 18:07,"513 Willow St, Austin ,TX",March,Client3
122,4505,prod15,1,1000,03/26/19 11:06,"213 Chestnut St, Los Angeles ,CA",March,Client8
123,4505,prod10,10,1000,03/26/19 11:06,"213 Chestnut St, Los Angeles ,CA",March,Client8
124,4506,prod1,1,700,03/17/19 19:06,"571 8th St, Los Angeles ,CA",March,Client8
125,4506,prod1,9,700,03/17/19 19:06,"571 8th St, Los Angeles ,CA",March,Client8
126,4506,prod15,1,1000,03/17/19 19:06,"571 8th St, Los Angeles ,CA",March,Client8
127,4506,prod2,3,500,03/17/19 19:06,"571 8th St, Los Angeles ,CA",March,Client8
128,4507,prod6,1,600,03/07/19 15:18,"22 Ridge St, Boston ,MA",March,Client1
129,4507,prod15,4,1000,03/07/19 15:18,"22 Ridge St, Boston ,MA",March,Client1
130,4507,prod11,11,600,03/07/19 15:18,"22 Ridge St, Boston ,MA",March,Client1
131,4508,prod12,1,400,03/23/19 18:59,"623 4th St, Portland ,OR",March,Client6
132,4508,prod8,5,200,03/23/19 18:59,"623 4th St, Portland ,OR",March,Client6
133,4508,prod6,3,600,03/23/19 18:59,"623 4th St, Portland ,OR",March,Client6
134,4509,prod7,1,400,03/01/19 13:51,"3 Wilson St, San Francisco ,CA",March,Client0
135,4509,prod14,4,100,03/01/19 13:51,"3 Wilson St, San Francisco ,CA",March,Client0
136,4509,prod11,11,600,03/01/19 13:51,"3 Wilson St, San Francisco ,CA",March,Client0
137,4510,prod9,1,100,03/14/19 21:48,"492 7th St, New York City ,NY",March,Client2
138,4510,prod5,8,900,03/14/19 21:48,"492 7th St, New York City ,NY",March,Client2
139,4510,prod2,2,500,03/14/19 21:48,"492 7th St, New York City ,NY",March,Client2
140,4511,prod12,1,400,03/22/19 20:14,"349 Madison St, New York City ,NY",March,Client2
141,4511,prod12,6,400,03/22/19 20:14,"349 Madison St, New York City ,NY",March,Client2
142,4511,prod13,7,200,03/22/19 20:14,"349 Madison St, New York City ,NY",March,Client2
143,4512,prod11,1,600,03/08/19 12:53,"82 Madison St, Atlanta ,GA",March,Client5
144,4512,prod13,9,200,03/08/19 12:53,"82 Madison St, Atlanta ,GA",March,Client5
145,4512,prod9,5,100,03/08/19 12:53,"82 Madison St, Atlanta ,GA",March,Client5
146,4513,prod14,1,100,03/02/19 10:04,"462 Lincoln St, San Francisco ,CA",March,Client0
147,4513,prod11,5,600,03/02/19 10:04,"462 Lincoln St, San Francisco ,CA",March,Client0
148,4513,prod13,9,200,03/02/19 10:04,"462 Lincoln St, San Francisco ,CA",March,Client0
149,4514,prod2,1,500,03/06/19 19:07,"677 Dogwood St, Seattle ,WA",March,Client9
150,4514,prod7,5,400,03/06/19 19:07,"677 Dogwood St, Seattle ,WA",March,Client9
151,4514,prod13,6,200,03/06/19 19:07,"677 Dogwood St, Seattle ,WA",March,Client9
152,4515,prod9,1,100,03/12/19 00:46,"325 Hickory St, New York City ,NY",March,Client2
153,4515,prod1,1,700,03/12/19 00:46,"325 Hickory St, New York City ,NY",March,Client2
154,4515,prod14,10,100,03/12/19 00:46,"325 Hickory St, New York City ,NY",March,Client2
155,4516,prod2,1,500,03/22/19 20:45,"668 Meadow St, San Francisco ,CA",March,Client0
156,4516,prod5,6,900,03/22/19 20:45,"668 Meadow St, San Francisco ,CA",March,Client0
157,4516,prod9,4,100,03/22/19 20:45,"668 Meadow St, San Francisco ,CA",March,Client0
158,4517,prod3,1,300,03/23/19 13:19,"902 Center St, Seattle ,WA",March,Client9
159,4517,prod12,9,400,03/23/19 13:19,"902 Center St, Seattle ,WA",March,Client9
160,4517,prod4,4,800,03/23/19 13:19,"902 Center St, Seattle ,WA",March,Client9
161,4518,prod6,1,600,03/21/19 14:26,"310 Washington St, Atlanta ,GA",March,Client5
162,4518,prod15,11,1000,03/21/19 14:26,"310 Washington St, Atlanta ,GA",March,Client5
163,4518,prod3,1,300,03/21/19 14:26,"310 Washington St, Atlanta ,GA",March,Client5
164,4519,prod12,1,400,03/16/19 14:55,"630 7th St, Atlanta ,GA",March,Client5
165,4519,prod14,5,100,03/16/19 14:55,"630 7th St, Atlanta ,GA",March,Client5
166,4519,prod12,3,400,03/16/19 14:55,"630 7th St, Atlanta ,GA",March,Client5
167,4520,prod1,1,700,03/22/19 14:13,"960 Jackson St, Dallas ,TX",March,Client4
168,4520,prod9,3,100,03/22/19 14:13,"960 Jackson St, Dallas ,TX",March,Client4
169,4520,prod11,10,600,03/22/19 14:13,"960 Jackson St, Dallas ,TX",March,Client4
170,4520,prod15,1,1000,03/22/19 14:13,"960 Jackson St, Dallas ,TX",March,Client4
171,4521,prod7,1,400,03/06/19 11:13,"666 Pine St, Los Angeles ,CA",March,Client8
172,4521,prod15,5,1000,03/06/19 11:13,"666 Pine St, Los Angeles ,CA",March,Client8
173,4521,prod2,8,500,03/06/19 11:13,"666 Pine St, Los Angeles ,CA",March,Client8
174,4522,prod1,1,700,03/05/19 11:27,"272 1st St, Los Angeles ,CA",March,Client8
175,4522,prod1,8,700,03/05/19 11:27,"272 1st St, Los Angeles ,CA",March,Client8
176,4522,prod2,5,500,03/05/19 11:27,"272 1st St, Los Angeles ,CA",March,Client8
177,4522,prod10,5,1000,03/05/19 11:27,"272 1st St, Los Angeles ,CA",March,Client8
178,4523,prod3,1,300,03/25/19 20:04,"715 West St, New York City ,NY",March,Client2
179,4523,prod13,10,200,03/25/19 20:04,"715 West St, New York City ,NY",March,Client2
180,4523,prod3,9,300,03/25/19 20:04,"715 West St, New York City ,NY",March,Client2
181,4524,prod13,1,200,03/02/19 16:14,"688 Maple St, Boston ,MA",March,Client1
182,4524,prod3,3,300,03/02/19 16:14,"688 Maple St, Boston ,MA",March,Client1
183,4524,prod10,11,1000,03/02/19 16:14,"688 Maple St, Boston ,MA",March,Client1
184,4525,prod2,1,500,03/05/19 21:06,"440 River St, San Francisco ,CA",March,Client0
