,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,7118,prod1,1,700,05/19/19 15:44,"555 Lake St, Boston ,MA",May,Client1
1,7118,prod6,8,600,05/19/19 15:44,"555 Lake St, Boston ,MA",May,Client1
2,7118,prod15,7,1000,05/19/19 15:44,"555 Lake St, Boston ,MA",May,Client1
3,7118,prod11,8,600,05/19/19 15:44,"555 Lake St, Boston ,MA",May,Client1
4,7119,prod15,1,1000,05/23/19 19:02,"782 Elm St, San Francisco ,CA",May,Client0
5,7119,prod2,1,500,05/23/19 19:02,"782 Elm St, San Francisco ,CA",May,Client0
6,7119,prod15,11,1000,05/23/19 19:02,"782 Elm St, San Francisco ,CA",May,Client0
7,7119,prod12,2,400,05/23/19 19:02,"782 Elm St, San Francisco ,CA",May,Client0
8,7120,prod1,1,700,05/12/19 14:00,"72 11th St, San Francisco ,CA",May,Client0
9,7120,prod4,4,800,05/12/19 14:00,"72 11th St, San Francisco ,CA",May,Client0
10,7121,prod3,1,300,05/29/19 23:49,"553 5th St, Los Angeles ,CA",May,Client8
11,7121,prod4,9,800,05/29/19 23:49,"553 5th St, Los Angeles ,CA",May,Client8
12,7121,prod8,1,200,05/29/19 23:49,"553 5th St, Los Angeles ,CA",May,Client8
13,7122,prod5,1,900,05/10/19 05:16,"923 11th St, Los Angeles ,CA",May,Client8
14,7122,prod3,6,300,05/10/19 05:16,"923 11th St, Los Angeles ,CA",May,Client8
15,7122,prod1,5,700,05/10/19 05:16,"923 11th St, Los Angeles ,CA",May,Client8
16,7122,prod6,9,600,05/10/19 05:16,"923 11th St, Los Angeles ,CA",May,Client8
17,7123,prod8,1,200,05/04/19 10:14,"277 Cedar St, San Francisco ,CA",May,Client0
18,7123,prod1,5,700,05/04/19 10:14,"277 Cedar St, San Francisco ,CA",May,Client0
19,7123,prod14,10,100,05/04/19 10:14,"277 Cedar St, San Francisco ,CA",May,Client0
20,7124,prod3,1,300,05/31/19 17:52,"964 5th St, Portland ,OR",May,Client6
21,7124,prod1,1,700,05/31/19 17:52,"964 5th St, Portland ,OR",May,Client6
22,7124,prod12,7,400,05/31/19 17:52,"964 5th St, Portland ,OR",May,Client6
23,7125,prod4,1,800,05/08/19 06:48,"808 2nd St, Los Angeles ,CA",May,Client8
24,7125,prod15,2,1000,05/08/19 06:48,"808 2nd St, Los Angeles ,CA",May,Client8
25,7126,prod14,1,100,05/26/19 17:44,"984 River St, San Francisco ,CA",May,Client0
26,7126,prod6,8,600,05/26/19 17:44,"984 River St, San Francisco ,CA",May,Client0
27,7126,prod1,4,700,05/26/19 17:44,"984 River St, San Francisco ,CA",May,Client0
28,7127,prod14,1,100,05/16/19 11:26,"756 Willow St, San Francisco ,CA",May,Client0
29,7127,prod2,2,500,05/16/19 11:26,"756 Willow St, San Francisco ,CA",May,Client0
30,7127,prod15,3,1000,05/16/19 11:26,"756 Willow St, San Francisco ,CA",May,Client0
31,7128,prod1,1,700,05/04/19 21:21,"156 Jackson St, Seattle ,WA",May,Client9
32,7128,prod1,11,700,05/04/19 21:21,"156 Jackson St, Seattle ,WA",May,Client9
33,7128,prod4,9,800,05/04/19 21:21,"156 Jackson St, Seattle ,WA",May,Client9
34,7128,prod2,2,500,05/04/19 21:21,"156 Jackson St, Seattle ,WA",May,Client9
35,7129,prod2,1,500,05/22/19 01:12,"671 6th St, Portland ,OR",May,Client6
36,7129,prod7,1,400,05/22/19 01:12,"671 6th St, Portland ,OR",May,Client6
37,7129,prod4,8,800,05/22/19 01:12,"671 6th St, Portland ,OR",May,Client6
38,7130,prod2,1,500,05/02/19 17:01,"430 4th St, Boston ,MA",May,Client1
39,7130,prod12,3,400,05/02/19 17:01,"430 4th St, Boston ,MA",May,Client1
40,7130,prod3,11,300,05/02/19 17:01,"430 4th St, Boston ,MA",May,Client1
41,7131,prod1,1,700,05/08/19 12:23,"648 5th St, San Francisco ,CA",May,Client0
42,7131,prod9,11,100,05/08/19 12:23,"648 5th St, San Francisco ,CA",May,Client0
43,7131,prod5,11,900,05/08/19 12:23,"648 5th St, San Francisco ,CA",May,Client0
44,7131,prod9,4,100,05/08/19 12:23,"648 5th St, San Francisco ,CA",May,Client0
45,7132,prod7,1,400,05/14/19 14:23,"465 6th St, San Francisco ,CA",May,Client0
46,7132,prod12,5,400,05/14/19 14:23,"465 6th St, San Francisco ,CA",May,Client0
