,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,15477,prod3,1,300,11/13/19 23:14,"656 Highland St, Atlanta ,GA",November,Client5
1,15477,prod6,4,600,11/13/19 23:14,"656 Highland St, Atlanta ,GA",November,Client5
2,15477,prod13,9,200,11/13/19 23:14,"656 Highland St, Atlanta ,GA",November,Client5
3,15478,prod1,1,700,11/04/19 10:45,"168 13th St, Atlanta ,GA",November,Client5
4,15478,prod13,10,200,11/04/19 10:45,"168 13th St, Atlanta ,GA",November,Client5
5,15478,prod2,9,500,11/04/19 10:45,"168 13th St, Atlanta ,GA",November,Client5
6,15478,prod10,1,1000,11/04/19 10:45,"168 13th St, Atlanta ,GA",November,Client5
7,15479,prod15,1,1000,11/09/19 13:25,"512 Jackson St, Dallas ,TX",November,Client4
8,15479,prod6,6,600,11/09/19 13:25,"512 Jackson St, Dallas ,TX",November,Client4
9,15479,prod2,11,500,11/09/19 13:25,"512 Jackson St, Dallas ,TX",November,Client4
10,15479,prod1,1,700,11/09/19 13:25,"512 Jackson St, Dallas ,TX",November,Client4
11,15480,prod12,1,400,11/17/19 16:28,"663 Wilson St, New York City ,NY",November,Client2
12,15480,prod15,10,1000,11/17/19 16:28,"663 Wilson St, New York City ,NY",November,Client2
13,15480,prod4,8,800,11/17/19 16:28,"663 Wilson St, New York City ,NY",November,Client2
14,15481,prod2,1,500,11/08/19 17:08,"887 Willow St, Los Angeles ,CA",November,Client8
15,15481,prod6,10,600,11/08/19 17:08,"887 Willow St, Los Angeles ,CA",November,Client8
16,15481,prod10,11,1000,11/08/19 17:08,"887 Willow St, Los Angeles ,CA",November,Client8
17,15482,prod10,1,1000,11/03/19 20:12,"933 Maple St, San Francisco ,CA",November,Client0
18,15482,prod12,11,400,11/03/19 20:12,"933 Maple St, San Francisco ,CA",November,Client0
19,15482,prod15,8,1000,11/03/19 20:12,"933 Maple St, San Francisco ,CA",November,Client0
20,15482,prod15,7,1000,11/03/19 20:12,"933 Maple St, San Francisco ,CA",November,Client0
21,15483,prod15,1,1000,11/04/19 09:31,"342 Forest St, San Francisco ,CA",November,Client0
22,15483,prod9,11,100,11/04/19 09:31,"342 Forest St, San Francisco ,CA",November,Client0
23,15483,prod12,11,400,11/04/19 09:31,"342 Forest St, San Francisco ,CA",November,Client0
24,15483,prod2,6,500,11/04/19 09:31,"342 Forest St, San Francisco ,CA",November,Client0
25,15484,prod1,1,700,11/02/19 00:44,"713 Lakeview St, Portland ,OR",November,Client6
26,15484,prod15,4,1000,11/02/19 00:44,"713 Lakeview St, Portland ,OR",November,Client6
27,15485,prod5,1,900,11/04/19 13:03,"620 12th St, Dallas ,TX",November,Client4
28,15485,prod8,9,200,11/04/19 13:03,"620 12th St, Dallas ,TX",November,Client4
29,15485,prod12,11,400,11/04/19 13:03,"620 12th St, Dallas ,TX",November,Client4
30,15485,prod9,4,100,11/04/19 13:03,"620 12th St, Dallas ,TX",November,Client4
31,15486,prod10,1,1000,11/05/19 12:35,"507 Cherry St, Los Angeles ,CA",November,Client8
32,15486,prod12,1,400,11/05/19 12:35,"507 Cherry St, Los Angeles ,CA",November,Client8
33,15486,prod6,2,600,11/05/19 12:35,"507 Cherry St, Los Angeles ,CA",November,Client8
34,15486,prod12,2,400,11/05/19 12:35,"507 Cherry St, Los Angeles ,CA",November,Client8
35,15487,prod2,1,500,11/11/19 14:25,"439 North St, Austin ,TX",November,Client3
36,15487,prod15,4,1000,11/11/19 14:25,"439 North St, Austin ,TX",November,Client3
37,15487,prod14,1,100,11/11/19 14:25,"439 North St, Austin ,TX",November,Client3
38,15488,prod12,1,400,11/04/19 11:04,"755 9th St, Dallas ,TX",November,Client4
39,15488,prod7,8,400,11/04/19 11:04,"755 9th St, Dallas ,TX",November,Client4
40,15488,prod9,4,100,11/04/19 11:04,"755 9th St, Dallas ,TX",November,Client4
41,15489,prod11,1,600,11/17/19 15:19,"502 North St, Atlanta ,GA",November,Client5
42,15489,prod1,9,700,11/17/19 15:19,"502 North St, Atlanta ,GA",November,Client5
43,15489,prod2,3,500,11/17/19 15:19,"502 North St, Atlanta ,GA",November,Client5
44,15490,prod13,1,200,11/19/19 14:33,"569 Cedar St, Seattle ,WA",November,Client9
45,15490,prod14,8,100,11/19/19 14:33,"569 Cedar St, Seattle ,WA",November,Client9
46,15490,prod2,4,500,11/19/19 14:33,"569 Cedar St, Seattle ,WA",November,Client9
47,15491,prod15,1,1000,11/29/19 14:06,"804 4th St, New York City ,NY",November,Client2
48,15491,prod13,2,200,11/29/19 14:06,"804 4th St, New York City ,NY",November,Client2
49,15491,prod8,10,200,11/29/19 14:06,"804 4th St, New York City ,NY",November,Client2
50,15491,prod12,10,400,11/29/19 14:06,"804 4th St, New York City ,NY",November,Client2
51,15492,prod9,1,100,11/17/19 17:20,"75 14th St, Dallas ,TX",November,Client4
52,15492,prod12,10,400,11/17/19 17:20,"75 14th St, Dallas ,TX",November,Client4
53,15492,prod3,8,300,11/17/19 17:20,"75 14th St, Dallas ,TX",November,Client4
54,15493,prod12,1,400,11/22/19 21:34,"18 Maple St, Los Angeles ,CA",November,Client8
55,15493,prod1,6,700,11/22/19 21:34,"18 Maple St, Los Angeles ,CA",November,Client8
56,15493,prod7,9,400,11/22/19 21:34,"18 Maple St, Los Angeles ,CA",November,Client8
57,15494,prod6,1,600,11/22/19 11:20,"933 Pine St, New York City ,NY",November,Client2
58,15494,prod4,8,800,11/22/19 11:20,"933 Pine St, New York City ,NY",November,Client2
59,15494,prod10,1,1000,11/22/19 11:20,"933 Pine St, New York City ,NY",November,Client2
60,15495,prod6,1,600,11/02/19 14:33,"31 Jefferson St, New York City ,NY",November,Client2
61,15495,prod15,4,1000,11/02/19 14:33,"31 Jefferson St, New York City ,NY",November,Client2
62,15495,prod10,8,1000,11/02/19 14:33,"31 Jefferson St, New York City ,NY",November,Client2
63,15496,prod15,1,1000,11/17/19 22:50,"567 Jackson St, New York City ,NY",November,Client2
64,15496,prod13,4,200,11/17/19 22:50,"567 Jackson St, New York City ,NY",November,Client2
65,15496,prod2,5,500,11/17/19 22:50,"567 Jackson St, New York City ,NY",November,Client2
66,15496,prod15,7,1000,11/17/19 22:50,"567 Jackson St, New York City ,NY",November,Client2
67,15497,prod14,1,100,11/17/19 23:39,"775 Madison St, San Francisco ,CA",November,Client0
68,15497,prod1,9,700,11/17/19 23:39,"775 Madison St, San Francisco ,CA",November,Client0
69,15497,prod11,9,600,11/17/19 23:39,"775 Madison St, San Francisco ,CA",November,Client0
70,15498,prod12,1,400,11/14/19 20:02,"173 Hill St, San Francisco ,CA",November,Client0
71,15498,prod6,2,600,11/14/19 20:02,"173 Hill St, San Francisco ,CA",November,Client0
72,15498,prod14,10,100,11/14/19 20:02,"173 Hill St, San Francisco ,CA",November,Client0
73,15499,prod2,1,500,11/20/19 13:52,"428 Johnson St, Seattle ,WA",November,Client9
74,15499,prod7,6,400,11/20/19 13:52,"428 Johnson St, Seattle ,WA",November,Client9
75,15499,prod3,8,300,11/20/19 13:52,"428 Johnson St, Seattle ,WA",November,Client9
76,15500,prod10,1,1000,11/15/19 16:53,"215 Center St, Los Angeles ,CA",November,Client8
77,15500,prod1,9,700,11/15/19 16:53,"215 Center St, Los Angeles ,CA",November,Client8
78,15500,prod5,7,900,11/15/19 16:53,"215 Center St, Los Angeles ,CA",November,Client8
79,15500,prod15,9,1000,11/15/19 16:53,"215 Center St, Los Angeles ,CA",November,Client8
80,15501,prod1,1,700,11/08/19 18:41,"484 5th St, Los Angeles ,CA",November,Client8
81,15501,prod9,6,100,11/08/19 18:41,"484 5th St, Los Angeles ,CA",November,Client8
82,15501,prod1,4,700,11/08/19 18:41,"484 5th St, Los Angeles ,CA",November,Client8
83,15501,prod14,11,100,11/08/19 18:41,"484 5th St, Los Angeles ,CA",November,Client8
84,15502,prod10,1,1000,11/09/19 09:38,"504 13th St, San Francisco ,CA",November,Client0
85,15502,prod2,2,500,11/09/19 09:38,"504 13th St, San Francisco ,CA",November,Client0
86,15502,prod13,11,200,11/09/19 09:38,"504 13th St, San Francisco ,CA",November,Client0
87,15502,prod12,3,400,11/09/19 09:38,"504 13th St, San Francisco ,CA",November,Client0
88,15503,prod15,1,1000,11/23/19 12:13,"867 7th St, San Francisco ,CA",November,Client0
89,15503,prod2,1,500,11/23/19 12:13,"867 7th St, San Francisco ,CA",November,Client0
90,15503,prod14,2,100,11/23/19 12:13,"867 7th St, San Francisco ,CA",November,Client0
91,15503,prod11,3,600,11/23/19 12:13,"867 7th St, San Francisco ,CA",November,Client0
92,15504,prod3,1,300,11/27/19 22:17,"995 Adams St, San Francisco ,CA",November,Client0
93,15504,prod15,4,1000,11/27/19 22:17,"995 Adams St, San Francisco ,CA",November,Client0
94,15504,prod15,3,1000,11/27/19 22:17,"995 Adams St, San Francisco ,CA",November,Client0
95,15505,prod7,1,400,11/22/19 08:43,"815 Hickory St, San Francisco ,CA",November,Client0
96,15505,prod15,6,1000,11/22/19 08:43,"815 Hickory St, San Francisco ,CA",November,Client0
97,15505,prod2,7,500,11/22/19 08:43,"815 Hickory St, San Francisco ,CA",November,Client0
98,15506,prod12,1,400,11/16/19 16:33,"659 South St, Boston ,MA",November,Client1
