,OrderID,Product,QtyOrdered,UnitPrice,OrderDate,OrderLocation,Month,ClientName
0,13694,prod8,1,200,10/05/19 02:17,"618 Dogwood St, Portland ,OR",October,Client6
1,13694,prod12,8,400,10/05/19 02:17,"618 Dogwood St, Portland ,OR",October,Client6
2,13694,prod9,11,100,10/05/19 02:17,"618 Dogwood St, Portland ,OR",October,Client6
3,13695,prod14,1,100,10/20/19 00:03,"988 Highland St, Los Angeles ,CA",October,Client8
4,13695,prod2,4,500,10/20/19 00:03,"988 Highland St, Los Angeles ,CA",October,Client8
5,13695,prod2,11,500,10/20/19 00:03,"988 Highland St, Los Angeles ,CA",October,Client8
6,13696,prod1,1,700,10/10/19 17:14,"254 2nd St, Boston ,MA",October,Client1
7,13696,prod12,9,400,10/10/19 17:14,"254 2nd St, Boston ,MA",October,Client1
8,13696,prod2,3,500,10/10/19 17:14,"254 2nd St, Boston ,MA",October,Client1
9,13696,prod1,9,700,10/10/19 17:14,"254 2nd St, Boston ,MA",October,Client1
10,13697,prod14,1,100,10/18/19 13:44,"223 5th St, Dallas ,TX",October,Client4
11,13697,prod13,1,200,10/18/19 13:44,"223 5th St, Dallas ,TX",October,Client4
12,13697,prod2,7,500,10/18/19 13:44,"223 5th St, Dallas ,TX",October,Client4
13,13698,prod15,1,1000,10/20/19 19:49,"518 Madison St, Los Angeles ,CA",October,Client8
14,13698,prod12,1,400,10/20/19 19:49,"518 Madison St, Los Angeles ,CA",October,Client8
15,13698,prod15,9,1000,10/20/19 19:49,"518 Madison St, Los Angeles ,CA",October,Client8
16,13698,prod5,7,900,10/20/19 19:49,"518 Madison St, Los Angeles ,CA",October,Client8
17,13699,prod10,1,1000,10/02/19 23:27,"81 Main St, San Francisco ,CA",October,Client0
18,13699,prod15,7,1000,10/02/19 23:27,"81 Main St, San Francisco ,CA",October,Client0
19,13700,prod6,1,600,10/01/19 15:06,"138 9th St, Portland ,OR",October,Client6
20,13700,prod1,9,700,10/01/19 15:06,"138 9th St, Portland ,OR",October,Client6
21,13700,prod15,9,1000,10/01/19 15:06,"138 9th St, Portland ,OR",October,Client6
22,13701,prod15,1,1000,10/15/19 17:14,"534 Park St, Dallas ,TX",October,Client4
23,13701,prod1,8,700,10/15/19 17:14,"534 Park St, Dallas ,TX",October,Client4
24,13701,prod13,6,200,10/15/19 17:14,"534 Park St, Dallas ,TX",October,Client4
25,13701,prod3,5,300,10/15/19 17:14,"534 Park St, Dallas ,TX",October,Client4
26,13702,prod12,1,400,10/26/19 18:23,"673 Sunset St, Atlanta ,GA",October,Client5
27,13702,prod15,7,1000,10/26/19 18:23,"673 Sunset St, Atlanta ,GA",October,Client5
28,13702,prod1,9,700,10/26/19 18:23,"673 Sunset St, Atlanta ,GA",October,Client5
29,13703,prod6,1,600,10/27/19 09:45,"1 Main St, Seattle ,WA",October,Client9
30,13703,prod1,9,700,10/27/19 09:45,"1 Main St, Seattle ,WA",October,Client9
31,13703,prod6,8,600,10/27/19 09:45,"1 Main St, Seattle ,WA",October,Client9
32,13704,prod1,1,700,10/10/19 05:54,"300 Main St, Los Angeles ,CA",October,Client8
33,13704,prod12,11,400,10/10/19 05:54,"300 Main St, Los Angeles ,CA",October,Client8
34,13704,prod10,9,1000,10/10/19 05:54,"300 Main St, Los Angeles ,CA",October,Client8
35,13704,prod12,9,400,10/10/19 05:54,"300 Main St, Los Angeles ,CA",October,Client8
36,13705,prod7,1,400,10/05/19 20:53,"245 6th St, Los Angeles ,CA",October,Client8
37,13705,prod2,5,500,10/05/19 20:53,"245 6th St, Los Angeles ,CA",October,Client8
38,13705,prod11,11,600,10/05/19 20:53,"245 6th St, Los Angeles ,CA",October,Client8
39,13706,prod15,1,1000,10/03/19 21:48,"370 Highland St, San Francisco ,CA",October,Client0
40,13706,prod2,3,500,10/03/19 21:48,"370 Highland St, San Francisco ,CA",October,Client0
41,13706,prod10,10,1000,10/03/19 21:48,"370 Highland St, San Francisco ,CA",October,Client0
42,13706,prod3,8,300,10/03/19 21:48,"370 Highland St, San Francisco ,CA",October,Client0
43,13707,prod1,1,700,10/13/19 19:25,"166 Main St, Boston ,MA",October,Client1
44,13707,prod12,5,400,10/13/19 19:25,"166 Main St, Boston ,MA",October,Client1
45,13707,prod10,8,1000,10/13/19 19:25,"166 Main St, Boston ,MA",October,Client1
46,13707,prod6,3,600,10/13/19 19:25,"166 Main St, Boston ,MA",October,Client1
47,13708,prod3,1,300,10/26/19 14:47,"713 7th St, San Francisco ,CA",October,Client0
48,13708,prod1,6,700,10/26/19 14:47,"713 7th St, San Francisco ,CA",October,Client0
49,13708,prod7,1,400,10/26/19 14:47,"713 7th St, San Francisco ,CA",October,Client0
50,13709,prod15,1,1000,10/05/19 19:35,"76 Wilson St, San Francisco ,CA",October,Client0
51,13709,prod9,11,100,10/05/19 19:35,"76 Wilson St, San Francisco ,CA",October,Client0
52,13709,prod4,6,800,10/05/19 19:35,"76 Wilson St, San Francisco ,CA",October,Client0
53,13709,prod3,11,300,10/05/19 19:35,"76 Wilson St, San Francisco ,CA",October,Client0
54,13710,prod7,1,400,10/21/19 15:43,"535 Main St, Los Angeles ,CA",October,Client8
55,13710,prod7,2,400,10/21/19 15:43,"535 Main St, Los Angeles ,CA",October,Client8
56,13710,prod2,1,500,10/21/19 15:43,"535 Main St, Los Angeles ,CA",October,Client8
57,13711,prod11,1,600,10/09/19 14:01,"915 Jefferson St, Atlanta ,GA",October,Client5
58,13711,prod3,11,300,10/09/19 14:01,"915 Jefferson St, Atlanta ,GA",October,Client5
59,13711,prod2,5,500,10/09/19 14:01,"915 Jefferson St, Atlanta ,GA",October,Client5
60,13712,prod13,1,200,10/10/19 11:01,"268 North St, Portland ,ME",October,Client7
61,13712,prod12,8,400,10/10/19 11:01,"268 North St, Portland ,ME",October,Client7
62,13712,prod1,1,700,10/10/19 11:01,"268 North St, Portland ,ME",October,Client7
63,13713,prod13,1,200,10/20/19 18:48,"777 9th St, Los Angeles ,CA",October,Client8
64,13713,prod3,5,300,10/20/19 18:48,"777 9th St, Los Angeles ,CA",October,Client8
65,13713,prod2,6,500,10/20/19 18:48,"777 9th St, Los Angeles ,CA",October,Client8
66,13714,prod2,1,500,10/24/19 16:15,"701 Lakeview St, San Francisco ,CA",October,Client0
67,13714,prod10,6,1000,10/24/19 16:15,"701 Lakeview St, San Francisco ,CA",October,Client0
68,13714,prod6,9,600,10/24/19 16:15,"701 Lakeview St, San Francisco ,CA",October,Client0
69,13715,prod12,1,400,10/02/19 21:16,"720 Meadow St, New York City ,NY",October,Client2
70,13715,prod10,11,1000,10/02/19 21:16,"720 Meadow St, New York City ,NY",October,Client2
71,13715,prod10,6,1000,10/02/19 21:16,"720 Meadow St, New York City ,NY",October,Client2
72,13716,prod10,1,1000,10/22/19 08:12,"834 Madison St, Dallas ,TX",October,Client4
73,13716,prod9,8,100,10/22/19 08:12,"834 Madison St, Dallas ,TX",October,Client4
74,13716,prod15,7,1000,10/22/19 08:12,"834 Madison St, Dallas ,TX",October,Client4
75,13716,prod15,1,1000,10/22/19 08:12,"834 Madison St, Dallas ,TX",October,Client4
76,13717,prod14,1,100,10/28/19 21:30,"650 Hill St, Los Angeles ,CA",October,Client8
77,13717,prod11,1,600,10/28/19 21:30,"650 Hill St, Los Angeles ,CA",October,Client8
78,13717,prod1,1,700,10/28/19 21:30,"650 Hill St, Los Angeles ,CA",October,Client8
79,13718,prod5,1,900,10/19/19 14:26,"8 Highland St, New York City ,NY",October,Client2
80,13718,prod12,1,400,10/19/19 14:26,"8 Highland St, New York City ,NY",October,Client2
81,13718,prod12,11,400,10/19/19 14:26,"8 Highland St, New York City ,NY",October,Client2
82,13718,prod2,8,500,10/19/19 14:26,"8 Highland St, New York City ,NY",October,Client2
83,13719,prod14,1,100,10/05/19 10:21,"693 Adams St, Boston ,MA",October,Client1
84,13719,prod12,8,400,10/05/19 10:21,"693 Adams St, Boston ,MA",October,Client1
85,13719,prod3,5,300,10/05/19 10:21,"693 Adams St, Boston ,MA",October,Client1
86,13720,prod13,1,200,10/08/19 19:56,"775 9th St, New York City ,NY",October,Client2
87,13720,prod1,5,700,10/08/19 19:56,"775 9th St, New York City ,NY",October,Client2
88,13720,prod3,4,300,10/08/19 19:56,"775 9th St, New York City ,NY",October,Client2
89,13721,prod15,1,1000,10/25/19 13:08,"107 1st St, San Francisco ,CA",October,Client0
90,13721,prod3,1,300,10/25/19 13:08,"107 1st St, San Francisco ,CA",October,Client0
91,13721,prod4,9,800,10/25/19 13:08,"107 1st St, San Francisco ,CA",October,Client0
92,13721,prod4,2,800,10/25/19 13:08,"107 1st St, San Francisco ,CA",October,Client0
93,13722,prod1,1,700,10/04/19 10:50,"647 Cedar St, New York City ,NY",October,Client2
94,13722,prod5,5,900,10/04/19 10:50,"647 Cedar St, New York City ,NY",October,Client2
95,13723,prod7,1,400,10/23/19 22:19,"608 Hill St, San Francisco ,CA",October,Client0
96,13723,prod7,5,400,10/23/19 22:19,"608 Hill St, San Francisco ,CA",October,Client0
97,13723,prod12,5,400,10/23/19 22:19,"608 Hill St, San Francisco ,CA",October,Client0
98,13724,prod4,1,800,10/30/19 22:42,"331 North St, Dallas ,TX",October,Client4
99,13724,prod4,8,800,10/30/19 22:42,"331 North St, Dallas ,TX",October,Client4
100,13725,prod13,1,200,10/11/19 08:09,"800 5th St, Boston ,MA",October,Client1
101,13725,prod3,3,300,10/11/19 08:09,"800 5th St, Boston ,MA",October,Client1
102,13725,prod15,9,1000,10/11/19 08:09,"800 5th St, Boston ,MA",October,Client1
103,13726,prod5,1,900,10/01/19 12:43,"614 Lake St, Austin ,TX",October,Client3
104,13726,prod1,3,700,10/01/19 12:43,"614 Lake St, Austin ,TX",October,Client3
105,13726,prod3,5,300,10/01/19 12:43,"614 Lake St, Austin ,TX",October,Client3
106,13726,prod10,1,1000,10/01/19 12:43,"614 Lake St, Austin ,TX",October,Client3
107,13727,prod3,1,300,10/15/19 20:23,"701 Hickory St, Los Angeles ,CA",October,Client8
108,13727,prod12,6,400,10/15/19 20:23,"701 Hickory St, Los Angeles ,CA",October,Client8
109,13727,prod2,3,500,10/15/19 20:23,"701 Hickory St, Los Angeles ,CA",October,Client8
110,13728,prod3,1,300,10/08/19 00:26,"679 Jackson St, Portland ,ME",October,Client7
111,13728,prod1,3,700,10/08/19 00:26,"679 Jackson St, Portland ,ME",October,Client7
112,13728,prod14,2,100,10/08/19 00:26,"679 Jackson St, Portland ,ME",October,Client7
113,13729,prod13,1,200,10/16/19 15:25,"100 Chestnut St, Portland ,OR",October,Client6
114,13729,prod3,1,300,10/16/19 15:25,"100 Chestnut St, Portland ,OR",October,Client6
